1	10100042812	A000332478	李威强	101	10	00	450802198812020899	20150330	20150330	20150330	0	2	2	5123000	20121011	0	
2	10100042836	0800217266	机构1	101	00	10	450521198402033163	20150330	20150330	20150331	0	2	2	0	0	0	
3	10100042836	B880104918	机构1	101	10	10	450521198402033163	20150330	20150330	20150330	0	2	2	0	0	0	
4	10100042840	0800217268	机构4	101	00	10	51142319850330027X	20150330	20150330	20150331	0	2	2	0	0	0	
5	10100042840	B880104934	机构4	101	10	10	51142319850330027X	20150330	20150330	0	0	0	0	0	0	0	
6	10100042848	A000332591	wqwq4	101	10	00	430822197608081632	20150330	20150330	20150330	0	2	2	0	0	0	
7	10100042945	A000333767	AAAAA	101	10	00	152626198110285738	20150401	20150401	0	0	1	0	123123123	20121011	0	
8	10100042946	0800217312	BBBBB	101	00	10	34130019930906216X	20150401	20170329	20150402	0	2	2	123123123	20121011	0	
9	10100164081	0800266850	我还以为你们有单	101	00	10	13050020100515	20160718	20170329	20160719	0	2	2	0	0	0	
10	10100371631	A001209709	AAAA	101	10	00	355713198711116538	20170322	20170322	0	0	0	0	24000000	20150209	0	
11	10100371780	0800306809	机构	101	00	10	35573378-0	20170329	20170329	20170330	20170329	2	3	0	20140101	0	
12	10100371780	B881000086	机构	101	10	10	35573378-0	20170329	20170329	0	0	0	0	0	20140101	0	
13	10100371965	0800316862	秋刀鱼	101	00	10	24852524-9	20170428	20170627	20170502	0	2	2	7800000	0	0	
14	10100472178	A001410295	角度看	101	10	00	511721198706040010	20170604	20170604	20170604	0	2	2	5000000	20150209	0	
15	10100472391	0800317160	WH机构	101	00	10	80778371-2	20170617	20170627	20170619	0	2	2	0	20150103	0	
16	10100472391	B881103622	WH机构	101	10	10	80778371-2	20170617	20170617	0	0	0	0	0	20150103	0	
17	10100472395	A001413413	AAAA	101	10	00	133608194101087031	20170617	20170617	0	0	0	0	0	20140321	91	
18	10100472402	A001413447	AAAA	101	10	00	232084196010132170	20170623	20170623	0	0	0	0	0	20150103	9	
19	10100473040	A001415546	AAAA	101	10	00	396642194906270865	20170627	20170627	0	0	0	0	0	20131211	9	
20	10100563704	0110022201	JG00001	101	00	10	542424198112165341	20180320	20180320	20180321	0	0	0	666666	20150101	88	
21	10100563704	A110022201	JG00001	101	10	10	542424198112165341	20160201	20180320	20160202	0	0	1	666666	20150101	88	
22	10100577001	A001419524	AAAA	101	10	00	647209197006137135	20170721	20170721	20170721	0	2	2	0	20150101	0	
23	10100577068	A001419663	AAAA	101	10	00	113598197201134092	20170724	20170724	20170724	0	2	2	40000000	20150101	0	
24	10100577419	A001419485	adsfsadfsdf	101	10	00	511423199007210069	20170721	20170721	20170721	20170721	2	3	0	0	0	
25	10100577982	A001423874	AAAA	101	10	00	739136196709074495	20170821	20170821	20170821	0	2	2	10000000	0	0	
26	10100578059	A001424202	苟富贵	101	10	00	511623198708210017	20170821	20170821	20170821	0	2	2	1000000	0	0	
27	10100578080	A001424278	过渡	101	10	00	51162319870821005X	20170821	20170821	20170821	0	2	2	10000000	0	0	
28	10100578089	A001424383	感受到	101	10	00	511623198708210113	20170822	20170822	20170822	0	2	2	1000000	0	0	
29	10108241426	0899010898	BBBB	101	00	10	1831014315	20180127	20180127	20180129	20180127	2	3	0	0	0	
30	10108241426	B880010900	BBBB	101	10	10	1831014315	20180127	20180127	20180127	20180127	2	3	0	0	0	
31	10108241433	0899010940	BBBB	101	00	10	1663137335	20180129	20180129	20180130	20180129	2	3	0	0	0	
32	10108241433	B880010942	BBBB	101	10	10	1663137335	20180129	20180129	20180129	20180129	2	3	0	0	0	
